comment,The Stuyvesant Schedules,,,
pagetype,schedules,,,
schedule-list,fall-14-a,fall-14-b,,
,,,,
main-property,choicepage-header,"<p align=""center""><font face=""Verdana""><font size=""4""><b>Stuyvesant Schedules<br></b></font>Fall 2016<br></font><font size=""1"" face=""Arial"">--P. Brooks</font></p>",,
main-property,choicepage-table-head,"<center><b><font face=""Verdana"">Choose today's schedule</font></b></center>",,
,,,,
,,,,
property,test,button,Test,
property,test,urlarg,test,
property,test,description,test,
period,test,before,12:00a,4:47p
period,test,Period 1,4:47p,5:06p
period,test,after,5:06p,11:59p
,,,,
property,fall-14-a,button,Regular,
property,fall-14-a,urlarg,fall14a,
property,fall-14-a,description,No homeroom,
period,fall-14-a,Before school,12:00a,8:00a
period,fall-14-a,Period 1,8:00a,8:41a
period,fall-14-a,Period 2,8:45a,9:26a
period,fall-14-a,Period 3,9:31a,10:15a
period,fall-14-a,Period 4,10:20a,11:01a
period,fall-14-a,Period 5,11:06a,11:47a
period,fall-14-a,Period 6,11:52a,12:33p
period,fall-14-a,Period 7,12:38p,1:19p
period,fall-14-a,Period 8,1:24p,2:05p
period,fall-14-a,Period 9,2:09p,2:50p
period,fall-14-a,Period 10,2:54p,3:35p
period,fall-14-a,After school,3:35p,11:59p
,,,,
property,fall-14-b,button,Homeroom,
property,fall-14-b,urlarg,fall14b,
property,fall-14-b,description,12-minute homeroom,
period,fall-14-b,Before school,12:00a,8:00a
period,fall-14-b,Period 1,8:00a,8:40a
period,fall-14-b,Period 2,8:45a,9:25a
period,fall-14-b,Period 3,9:29a,10:09a
period,fall-14-b,Homeroom,10:13a,10:25a
period,fall-14-b,Period 4,10:30a,11:10a
period,fall-14-b,Period 5,11:14a,11:54a
period,fall-14-b,Period 6,11:58a,12:38p
period,fall-14-b,Period 7,12:42p,1:22p
period,fall-14-b,Period 8,1:26p,2:06p
period,fall-14-b,Period 9,2:10p,2:50p
period,fall-14-b,Period 10,2:55p,3:35p
period,fall-14-b,After school,3:35p,11:59p
,,,,
property,fall-14-first-day,button,Wed 9/9,
property,fall-14-first-day,urlarg,fall14first,
property,fall-14-first-day,description,Wed Sept 9,
period,fall-14-first-day,Before school,12:00a,8:35a
period,fall-14-first-day,Homeroom,8:35a,9:00a
period,fall-14-first-day,Period 1,9:05a,9:37a
period,fall-14-first-day,Period 2,9:41a,10:13a
period,fall-14-first-day,Period 3,10:17a,10:49a
period,fall-14-first-day,Period 4,10:53a,11:25a
period,fall-14-first-day,Period 5,11:29a,12:01p
period,fall-14-first-day,Period 6,12:05p,12:37p
period,fall-14-first-day,Period 7,12:41p,1:13p
period,fall-14-first-day,Period 8,1:17p,1:49p
period,fall-14-first-day,Period 9,1:53p,2:25p
period,fall-14-first-day,Period 10,2:29p,3:01p
period,fall-14-first-day,After school,3:01p,11:59p
,,,,
property,fall-06-d,button,Conferences,
property,fall-06-d,urlarg,fall06d,
property,fall-06-d,description,Conference/Meetings,
period,fall-06-d,Before school,12:00a,8:00a
period,fall-06-d,Period 1,8:00a,8:37a
period,fall-06-d,Period 2,8:41a,9:18a
